team_id_home,home_team,game_id,game_date,matchup_home,wl_home,fgm_home,fga_home,fg_pct_home,fg3m_home,fg3a_home,fg3_pct_home,ftm_home,fta_home,ft_pct_home,pts_home,team_id_away,team_abbreviation_away,wl_away,fgm_away,fga_away,fg_pct_away,fg3m_away,fg3a_away,fg3_pct_away,ftm_away,fta_away,ft_pct_away,pts_away
1610612766,CHA,20800027,01/11/2008 00:00,CHA vs. MIA,W,37,69,0.536,5,10,0.5,21,32,0.656,100,1610612748,MIA,L,32,72,0.444,5,21,0.238,18,27,0.667,87
1610612749,MIL,20800036,01/11/2008 00:00,MIL vs. TOR,L,36,81,0.444,3,13,0.231,12,19,0.632,87,1610612761,TOR,W,30,63,0.476,8,16,0.5,23,26,0.885,91
1610612741,CHI,20800034,01/11/2008 00:00,CHI vs. MEM,W,32,84,0.381,8,19,0.421,24,30,0.8,96,1610612763,MEM,L,32,75,0.427,3,6,0.5,19,26,0.731,86
1610612753,ORL,20800029,01/11/2008 00:00,ORL vs. SAC,W,44,80,0.55,8,22,0.364,25,31,0.806,121,1610612758,SAC,L,39,74,0.527,5,15,0.333,20,24,0.833,103
1610612737,ATL,20800026,01/11/2008 00:00,ATL vs. PHI,W,39,91,0.429,8,25,0.32,9,11,0.818,95,1610612755,PHI,L,35,85,0.412,6,16,0.375,12,14,0.857,88
1610612745,HOU,20800035,01/11/2008 00:00,HOU vs. OKC,W,28,77,0.364,6,21,0.286,27,31,0.871,89,1610612760,OKC,L,34,85,0.4,0,4,0,9,12,0.75,77
1610612754,IND,20800028,01/11/2008 00:00,IND vs. BOS,W,33,81,0.407,6,22,0.273,23,27,0.852,95,1610612738,BOS,L,27,78,0.346,4,20,0.2,21,35,0.6,79
1610612750,MIN,20800032,01/11/2008 00:00,MIN vs. DAL,L,31,79,0.392,1,12,0.083,22,24,0.917,85,1610612742,DAL,W,37,83,0.446,5,16,0.313,16,20,0.8,95
1610612762,UTA,20800038,01/11/2008 00:00,UTA vs. LAC,W,43,88,0.489,2,9,0.222,13,22,0.591,101,1610612746,LAC,L,29,73,0.397,3,9,0.333,18,20,0.9,79
1610612752,NYK,20800040,02/11/2008 00:00,NYK vs. MIL,L,30,81,0.37,12,36,0.333,14,18,0.778,86,1610612749,MIL,W,36,81,0.444,4,11,0.364,18,30,0.6,94
